clear,score,Label
sih bagus aplikasi ini tapi tolong tingkat sistem info halte besar peta jalur halte mesti notifikasi info halte ulang ulang,2,Negatif
laik kali baru kapasitas nungu lama aplikasi kapasitas nyampe halte penuh gimana sih ,1,Negatif
bantu jalan rute,5,Positif
otp jaman nenek moyang dapet ,1,Negatif
gps eror jam sibuk pasti tumpang lokasi feder akurat ,1,Negatif
kak kalo adu mana ya aplikasi dipakek lokasi bus lacak hp sya un instal bolak aja ,1,Negatif
otp muncul susah login,1,Negatif
g fitur lupa pin nya ih saya bingung pakai saldo sayang isi lupa pin faq nya minim banget g member butuh sesuatu yuk baik aplikasi maju ,2,Negatif
bagus alangkah bagus fitur reminder kendara feder bus dekat halte tentu tungu pingir jalan,4,Positif
daftar login payah,1,Negatif
bis henti main pergi ecek halte orang,1,Negatif
sayang aplikasi fitur lacak posisi bis jadwal rute,1,Negatif
hapus foto p nya,1,Negatif
ngaco,2,Negatif
aplikasi sampah,1,Negatif
top up nyaman tolong wira wiri arah wiyung gunung anyar tambah jemput halte rsal berterimakasih bantu itu mohon bijak,2,Negatif
mohon rute terminal benowo tunjung lewat jalan bubut kantor polisi ,3,Negatif
banyak update ,1,Negatif
daftar member bisa n kirim kode otp,2,Negatif
trans jatim koridor aplikasi gob,5,Positif
aplikasi trackingnya lot bus tumpuk muncul trackingnya mohon baik,2,Negatif
informasi sisa kapasitas sesuai mohon perhati,3,Negatif
aplikasi sampah daftar rumit kode otp kirim,1,Negatif
daftar login sih,1,Negatif
 z,4,Positif
efisien murah cocok masyarakat bantu,5,Positif
aplikasi taik eror teros sopir kondektur banyak jajan jalan banyak ngoceh sampek telat kerja fd taik ancen kondektur sopan tumpang gak etika sekali taik,1,Negatif
gajelas data nyala koneksi,1,Negatif
ap an ini registrasi hasil log in dg kendala akun nik temu gak,1,Negatif
sb wira wiri layan baik helper sopir ramah tumpang ,5,Positif
butuh baik segi aplikasi kode otp puol,1,Negatif
kondektur cewek judes tolong benah layan,3,Negatif
layan bagus tata udara ac bis dingin tuk henti halte suroboyo bis bungur perak fungsi pakai konvensional helper teriak tks saran,3,Negatif
gob ap store cari,3,Negatif
aplikasi bagus tolong banyak tukar botol tukar botol terminal purabaya bungurasih hilang strategis tukar botol botol tukar poin dapat laku mingu saja dulu poin saja mingu ,2,Negatif
suroboyo bus jam operasional nya jam malam biar tolong karyawan toko pulang jam malam contoh bus semangi jam malam bus listrik tuju kenjeran jam malam bus kelar nya jam minat moga jakarta bus trans jam,4,Positif
armada dibanyakin lah tungu x penuh,1,Negatif
guna daun bidara sidr terapi ruqyah insya alah fungsi racun bangsa jin bidznilah sarana laksana hukum janaiz jenazah mandi disunahkan rasululah masker lulur kencantikan gangu cerna mencret stabil kadar gula darah derita diabetes manfat wanita mandi haid rangkai amal sunah,4,Positif
kernet pasuk data tumpang masuk udah penuh aplikasi sisa kosong kursi wara wiri benowo tunjungan,3,Negatif
nyaman tp kalo pas jam brkt pulang orang kerja berdesakan,5,Positif
aplikasi baru kait informasi jadwal bis halte sedia susah hitung surabaya bus tolong kembali informasi kait jadwal ksdatangan surabaya bus aplikasi ini ,3,Negatif
aplikasi bagus orang surabaya bus moda transportasi fitur tunjuk trayek bis pergi pergi terminal purabaya stasiun pasar turi tunjuk terang bis jurus pakai henti halte sambung bis tuju moga depa,3,Negatif
nya eror,2,Negatif
rute bus tb eror live track bus nya ada gps akurat,1,Negatif
pakai nik foto nik khan privasi banget aplikasi perintah bobol hecker guna nik ,1,Negatif
layan bagus bis bersih nyaman asih saran akurasi lokasi bis calon tumpang mohon benah akurat terimakasih,3,Negatif
bagus bantu,5,Positif
petsa susah erti,1,Negatif
rute arah surabaya barat perak ,3,Negatif
aplikasi update jelek muncul jalur rute,1,Negatif
feder wira wiri lumayan mudah sih rumah halte minus kadang helper update kapasitas sedia udah lanjur tungu halte pas penuh cek aplikasi kapasitas ,3,Negatif
transjatim koneksi apk benar ,4,Positif
wira wiri kasih bintang kenapa karena kali tungu halte aplikasi rute tulis wirawiri kapasitas sekian nyata halte mobil henti kernet nya buka kaca omong penuh yg tanya kalo penuh tiap track lihat kapasitas penuh tolong aplikasi baik kalo ya lama tumpang asal ,1,Negatif
servis bagus jelek jarak berangkat bus hus purabaya menit,1,Negatif
aplikasi tolol otp masuk lihat jadwal susah tolil sumpah,1,Negatif
aplikasi aneh bayar qris riwayat beli bayar aplikasi riwayat driver ngebut sesuai titik terminal terminal langsung main tingal,1,Negatif
bikin akun verifikasi login hasil wifi data lancar hasil masuk aplikasi gak karpet terbang om jin biar cepat,1,Negatif
edit ulas bintang boleh minum air mineral botol plastik yg sampah buang armada bawa turun kalo tumpang pusing butuh minum dibolehin yuk dibenahin yuk atur spesifik jenis makan minum makan minum armada ,1,Negatif
bus laju cepat henti halte pusvetma tolong buat halte sulit bayar nya,1,Negatif
udah coba top up langsung hbs ok banget tau rute bus,5,Positif
aplikasi bingung guna mudah aplikasi bus suroboyo,2,Negatif
armada bus datang menit tungu bus henti halte ,1,Negatif
aplikasi bagus,4,Positif
aplikasi stabil x jadi kecewa histori jalan sedia histori transaksi ada parah transaksi bayar potong x nomor transaksi sama cs masuk akal ,1,Negatif
eror baik,1,Negatif
bantu pemberitahuan ubah rute ,3,Negatif
habis top up ribu bayar ikhlas jitu ya tolong developer baik sistem,1,Negatif
rute nya suroboyo bus cuman rute bs bus nya gk kayak aplikasi dulu point hilang ,2,Negatif
nya bagus coba,5,Positif
iseng iseng coba daftar coba daftar notif nik pakai ,1,Negatif
saran sih peta integrasi ambil gmaps biar halte pilih,1,Negatif
mantab aplikasi,5,Positif
dbuka rute tg perak mhn haltenyadbikin dkt indomaret dan kalo dbikin atap duduk kalo diri jam lansia kuat terimakasih,2,Negatif
menu tanya sulit guna kota,3,Negatif
update teros sak ulang update peng suwidak jaran onok ubah,1,Negatif
overal bagus tingkat fitur edit profile edit email saya ,3,Negatif
mohon pemberitahuan aplikasi bis pakai trayek itu jadi menit tungu bis jalan oper bos jam tugas dishub tidur ,2,Negatif
daftar login tulis nik sesuai paswordnya tetep pasword temu lupa pasword email daftar sesuai klik email tidal temu uninstal,1,Negatif
suka versi belum info wisata kuliner surabaya ,3,Negatif
kernet wirawirinya ramah,2,Negatif
kondektur gila songong banget sok sok customer senyum mencuret mulu kayak niat kerja,1,Negatif
mudah masy,5,Positif
masuk kirim kode verifikasi buka email ngk email masuk kait kode aps gob ,3,Negatif
udah download uninstal kali kali bus nya mana log in tulis sambung putus rute ,1,Negatif
manfat,5,Positif
aplikasi baik,4,Positif
bayar aplikasi eror kena biaya rb orang aplikasi muncul nominal bayar rp ,1,Negatif
mung jik butuh apik maneh cak lan nk ning wes tepak aplikasi iki gwe warga surabaya ,3,Negatif
aplikasi bentar suruh update,3,Negatif
koneksi putus terus sinyal bagus,1,Negatif
aplikasi jelek kadang posisi bus sedia,2,Negatif
tungu bus jam malam kurang lewatin aja tolong halte check,1,Negatif
lokasi akurat bg junction titik simpang dukuh update baru ubah titik tungu akurat developer aplikasi baik keluh langan abai,1,Negatif
masuk moga tambah rute perak labuh snq labuh kontainer,5,Positif
lokasi guna ada ,2,Negatif
pusat bantu susah kalo pas oknum butuh bantu kmn tolong baik sistem khusunya jam operasi malam driver short cut rute jarang tumpang tungu halte dilewatin,3,Negatif
jalur made hapus,3,Negatif
ruwet up date it sempel ,1,Negatif
lupa pasword nya akun lupa pasword ganti pasword,4,Positif
aplikasi gob update susah pnguna,1,Negatif
tapa update sih update ubah tolong baik apknya min,3,Negatif
update aplikasi ,1,Negatif
update sih,1,Negatif
update,2,Negatif
update,4,Positif
 l uk,2,Negatif
update parah,1,Negatif
aplikasi update terus upadate suruh update lagi tolong ya min update apk nya rang minim update jalur lidah wetan muncul bis nya,5,Positif
mantap,5,Positif
aplikasi sesuai banget posisi unit kebantu pengin unit gob surabaya,5,Positif
ribet aplikasi,3,Negatif
suka aplikasi baru,5,Positif
aplikasi manfat banget update ,5,Positif
ga rute aplikasi kayak,3,Negatif
suroboyo bis cocok,5,Positif
rute lengkap tumpang guna layan pusing cari,1,Negatif
aps nya rada layan wirawiri oke bangetz ,5,Positif
,4,Positif
ap ramah semrawut bintang ,1,Negatif
tracking bus nya mana halte henti,1,Negatif
lot login,1,Negatif
gps teman bus ada harap tingkat,2,Negatif
layan nya bagus,1,Negatif
bantu backpacker khawatir tipu calo moga rata surabaya,5,Positif
alhamdulilah gob wira wiri coba ini hari mingu tangal feb benar pengin nikmat empat teman lansia masyalah benar nikmat banget layan bagus sekali dalam mobil wira wiri nyaman ber ac lagi jd enak turun lakasantri pengin joyo boyo lanjut gobus jmp langan kalo pengin jln terima kasih semua ,5,Positif
tungu bus nya ,1,Negatif
ok,5,Positif
tolong dibenerin arah tow unesa iya bus nya cuman seng ngenteni blawuken bus e budal,1,Negatif
murah riah,5,Positif
overal bagus sih aplikasi fitur fiturnya lengkap semua makasih developer jos tingkat developer kurang tingkat akurat lokasi mana user diri bayang sih user datang lokasi surabaya sih user sesat salah rasional transum,5,Positif
ok surabaya bus feder nyaman aman ,5,Positif
istimewa sekarang moga lengkap jurus nyaman kendaranya amin ,5,Positif
ya teman bus gpsnya,4,Positif
aplikasi top up bayar lebi simpel aplikasi,5,Positif
bagus,5,Positif
bantu,5,Positif
login profil lihat poin sisa mohon bantu,1,Negatif
aplikasi oke sayang kumpulin botol susah kumpul tiket expirednya saja huft capek,3,Negatif
god,5,Positif
ngak rekomen habis instal hp iklan menit udah coba uninstal restart atur iklan hp iklan sangat gangu telfon vc iklan,1,Negatif
ok,5,Positif
mudah kendara,5,Positif
lag nya posisi feder nya p,1,Negatif
diupdate hilang gambar bis wira wirinya jd sulit mantau darimana sampai mohon baik aplikasi,4,Positif
detail gps bus nya indak ada harus ada biar jam halte jam,3,Negatif
bantu transportasi,5,Positif
w gcv cwa gc,4,Positif
bagus bantu guna disabilitas transportasi nyaman terimakasih perintah moga amanah,5,Positif
mantap ,5,Positif
aplikasi tracking teman bus,1,Negatif
aplikasi simpel informatif lokasi tuju wisata cantum bus rute turun halte mana bingung kalo lokasi tuju ,4,Positif
feder wira wiri tungu berangkat banget terminal padahal penuh tapi tungu mnt berangkat kata berangkat ,2,Negatif
lapor sopir nakal ya lapor salah sopir kernet tumpang tungu halte dilewatin aja diri jalan loh lambai tangan coba tolong ya kasih lapor kali alami jadi sama bayar ngomelin sopir ngebut ngawur khusus tangal des bis surabaya kode sb ,1,Negatif
ngotak kalo pindah halte mojokerto beritahu ojek dancok aplikasi kntl,2,Negatif
poin tukar botol hilang bagaimana ,1,Negatif
keren dan operasi listrik mgk aplikasi ivon neda listrik merah trm ksh smg depan meningjatkan layan ,5,Positif
ui ux aplikasi user friendly pas instal cek posisi halte map kosong isi nama jalan posisi bus halte bingung ,2,Negatif
wira wiri jam mobil ,5,Positif
god,5,Positif
gilir unduh eh buka ,1,Negatif
ololy,5,Positif
fd kalo tungu jam malam,1,Negatif
bagus banget aplikasi god job,5,Positif
gob pokok sempurna ,5,Positif
kadang suka nge time kecepeten tungu pas eh pas jalan ngebut nguber waktu w ugal,1,Negatif
mantab,5,Positif
murah nyaman,4,Positif
aman nyaman bersih kualitas,5,Positif
bagus cepat,5,Positif
maf lewat feader halte,1,Negatif
senang jalan giat kelompok,5,Positif
mantap,5,Positif
cari rute benowo galaxy mal,5,Positif
transportasi aman nyaman banget deh kurang polusi pas banget kemana capek kendara ayo transportasi publik pasti lupa sing ful senyum smuanya,5,Positif
tolong halte nya daerah kedung klinter jurus tunjung benowo halte kedungdoro embong malang,3,Negatif
suka banget monitor jalan bus mana ,5,Positif
peta akurat peta apa mana lumayan loh km asli kasih fitur langsung medayu untag sistem langsung pakai transit mana estimasi jalan transit biaya,1,Negatif
ok,5,Positif
aplikasi ngebug tbtb muncul bis hp cuman muncul jalur halte aja hp muncul lengkap tuh ,4,Positif
mohon tambah henti masjid agung al akbar surabaya,4,Positif
best layan transportasi i have ever sen karyawan ramah pol cermin jowo seng ramah tamah matur suwun surabaya bus gob diri rumah sby kantor ful angkot pintu baik,5,Positif
kemarin pas pulang unesa wilangun tarif kernet perempuan suruh bayar kasih ktms mau mau bentuk fisik engak ya maklumin sih x nya pas bareng teman perempuan pulang kali bentuk fisik ,2,Negatif
aplikasi buka ya,2,Negatif
super,5,Positif
gob cepat layan informasi bus suroboyo wira wiri dl top pokok e,5,Positif
bantu rencana perjslan,5,Positif
bantu go bis,5,Positif
nyaman tugas ramah,5,Positif
diupdate versi aplikasi gob buka ,3,Negatif
bagus,5,Positif
alhamdulilah mudah mahasiswa pulang pergi kuliah,5,Positif
,5,Positif
bantu posisi bus jadwal bus okupansi bus ,4,Positif
jujur senang kecewa benar kecewa berat sih tungu bis jam set pagi jam set bus terminal transposinya bagus mohon dishub baik terimakasih ,2,Negatif
tolong kalo hire tim ui ux jujur tampil jelek sekali bikin kena studi banding aps jaklingo ,2,Negatif
aplikasi kelar diupdate log out sendiri balikin type update ya maklum pakai anak sekolah ,5,Positif
aplikasi sih ini ga wira wiri isa klik jadwal ada kudu gogle gogle jadwal jadwal palsu bus ya guna isa lihat letak doang jadwal ada fungsi aplikasi apa mana ancernya lokasi doang palsu salah notif halte dateng wira wiri dinaikin ngak tungu jam halte bus wira wiri ya lagi minimal tulis terima,1,Negatif
perbaikin gl daftar member nih nge stak foto nge bug,2,Negatif
saran sih aplikasi kasih fitur mana kasih rute bis saja jujur bingung,4,Positif
trimakasih surabaya bis sayakerja kerja lambat surarabaya bus makasih suroboyo bis,5,Positif
moga tingkat aplikasi launching apstore,5,Positif
alhamdulilah mudah nyaman aman mobilitas surabaya,5,Positif
kurang kapasitas tera unit kadang sesuai wira wiri mohon baik terimakasih,4,Positif
halte dishubsurabaya,5,Positif
w ramah henti stop bilang henti bawah halte feder bilang mohon maf penuh feder w marah marah diri menit panas soprinya lihat mohon sdm didik ramah ,1,Negatif
bagus,5,Positif
bagus alangkah baik aplikasi fitur informasi guna lokasi tuju transportasi saja guna tingal masuk titik lokasi tuju gogle maps tampil rute bus wirawiri lewat tuju sebut guna bingung transit pindah transportasi lain ,4,Positif
aplikasi super update rute,5,Positif
download wira wiri,5,Positif
pg anak berangkat sekolah terminal bratang wira wiri fd turun genteng krn sekolah daerah sana ada naik wira wiri turun pandegiling moga kemarin ktk bratang tuju sekolah bingung dia knp beda rute ,3,Negatif
bantu suroboyo bus ini transportasi aman nyaman berangkat pulang kerja terima kasih suroboyo bus ,5,Positif
brguna banget guna transum sby,5,Positif
suka aplikasi wirawiri trans jatim gabung aplikasi ini repot ecek aplikasi trans jatim update gampang jadwal baru suroboyo bus wirawiri trans jatim ,5,Positif
mohon tambah armada wirawiri rute mayjend balai kota karena tungu,5,Positif
bagus,5,Positif
lpl ,5,Positif
mantap,5,Positif
bagus suroboyo bus koridor gununganyar kenpark unesa laguna tracking pantau update posisi ,4,Positif
rute kenjeran wonokromo list ya ,3,Negatif
bantu sih jalur kenjeran gunung anyar dah aplikasi tpi lihat bus arah situ beda aplikasi lihat jalur bis itu ,3,Negatif
jadwal berangkat bis kacau contoh juli sb jadwal bungur lambat berangkat jalan kerja lambat kantor kadang maju berangkat bis kondisi bus nyaman rusa hidrolik pintu susah tutup kursi sedikit tombol stop rusak ac siang panas,3,Negatif
guna warga surabaya,5,Positif
bagus manfat,5,Positif
g isa buka vivo vlite,1,Negatif
update rute unesa its muncul,1,Negatif
moga aplikasi lengkap info halte dekat pilih tuju mudah guna apk ojol ya jujur sulit apk ini sayang kalo bus bagus manfat optimal moga saran diterima ,2,Negatif
alhamdulilah kepedu cak erik walikota surabaya masyarakat surabaya sedia angkut biaya jangkau kami wirawiri benowo tunjung bungurasih informasi cak erik henti turun naik tumpang jarak duduk atap kare nya kalo musim hujan tum pang tungu angkot wira wira panas hujan an ,5,Positif
wes rute tij tow ganti unesa tow longor pol poleh enak numpak wira wiri sumpek,1,Negatif
i m realy to love suroboyo bus because the best,5,Positif
sip,3,Negatif
sip,5,Positif
,5,Positif
update nya cepat tambah rute tow unesa,3,Negatif
aplikasinye bagus bantu ane surabaya ane jakarta kali surabaya salut drivernya ramah bantu memberihkan arah jalan,5,Positif
muas bantu,5,Positif
top scorer,5,Positif
kok i,2,Negatif
nyaman pegawenya ramah,5,Positif
bantu top surabaya,5,Positif
aplikasi jelas manfat mana ,1,Negatif
bis tayo suroboyo,5,Positif
tampil aplikasi mohon baik biar fresh mudah guna,2,Negatif
aplikasi angkut baik bantu penuh butuh warga surabaya sekitar ,5,Positif
jadwal sesuai bus henti halte langsung,1,Negatif
top,5,Positif
bagus sih ya supirnya galak bus supir rada galak omong ngegas tau kasih tau baik ngegas mohon tindak,3,Negatif
ac dingin tumpang mohon perhati ntk nyaman tumpang,3,Negatif
bagus,5,Positif
rute wira wiri rute camat oper jalan rute,4,Positif
rute mer,1,Negatif
hp terinstal buka aplikasi,1,Negatif
ditracking suroboyo bus nya loading min mungkin baik ya,5,Positif
luncur ac bus dingin asa sauna usul jam layan panjang jam malam kerja pusat belanja tutup jam malam diap antarmuka tambah menu jadwal berangkat,1,Negatif
tolong umum muncul terus layar terus bosan,3,Negatif
puluh fasum coba kepo banget hahahaha enak adem nyaman nyamanya tumpang berisik asa kendara pribadi ,5,Positif
x alam terminal bungurasih tangal pkl wib lari masuk bis langsung tutup kursi kosong gilir tumpang cewek langsung buka pintu mohon maf bus khusus cewek gender ,1,Negatif
top bus,5,Positif
suroboyoku bersih hijau,5,Positif
bantu suroboyo bus semangi suroboyo transpotasi aman nyaman terima kasih jasa ,5,Positif
bonbin bungurasih gratis tis tis lansia maturnuwun gob,5,Positif
klau halte rsi lewat w nya habis pulang sekolah lewat tungu depan stop bus,3,Negatif
nyaman,5,Positif
mudah beractivitas hemat,5,Positif
lancar moda transportasi surabaya,4,Positif
aplikasi bantu pantau posisi feder guna,5,Positif
waw,5,Positif
aplikasi untung guna suroboyo bis,4,Positif
sekolah smk smk,4,Positif
daftar member tungu kode otp email masuk alhasil membernya dintefikasi aplikasi tolong mudah,4,Positif
great ap god job,5,Positif
tata rapi beda bus,5,Positif
bantu sekali ,5,Positif
skripsi serta alat transportasi sebut ,2,Negatif
rute kenjeran kenpark,2,Negatif
moga tambah halte bis tayo tiga greges margomulyo,5,Positif
manfat masyarakat hari transportasi umum ,4,Positif
gob bantu masyarakat,5,Positif
mantap nyaman aman,5,Positif
habis baru lengkap fiturnya aneh,1,Negatif
nyaman bantu,5,Positif
aplikasi bagus saran koridor lengkap lagi destinasi info kendara naik destinasi tutup thr hapus menu aplikasi ,1,Negatif
parah sih wirawiri suroboyo nomor w barusan tingal kasih tanda stop tungu halte tandes henti langsung tingal kosong dalam parah parah sumpah,1,Negatif
apk tipu bro modus gobiz suroboyo bus,1,Negatif
god beda kayak operator bus semangka,5,Positif
tumpang halte henti niat nga ,1,Negatif
bantu orang tdk kendara,5,Positif
lot,1,Negatif
aplikasi bagus saran informasi layan sperti aplikasi deteksi halte dekat fitur peta rute jaring tranportasi kota surabaya fitur peta halte lalu bus format gambar fitur rekomendasi tranportasi wisata rute tempat wisata mudh baca informasi moga integrasi stasiun jalur tranportasi lain ,3,Negatif
aplikasi gob sedia ios anak kesulitas aplikasi gob ya ios ada mohon perhati terima kasih ,2,Negatif
hrs benah moga citra awal semangat nmun lupa ,2,Negatif
rute bus unesa its hilang bus operasi rute hilang kalo saran kritik mohon folow up,1,Negatif
bagus,5,Positif
jadwal gogle datang bis tingkat sdm nya canda bus jalan surabaya mantap luas macet kecewa banget lari ngejar pas halte bis nya ampun deh jadwal kacau suroboyo bis ini ,2,Negatif
informasi kait halte,4,Positif
keren modern murah,5,Positif
ratingmu bohong boz apk cangih akomodasi transportasi kekuraganya,1,Negatif
letak nan lokasi akurat,3,Negatif
penasaran,5,Positif
thanks you very much,5,Positif
bantu posisi suroboyo bus wirawiri suroboyo feder,5,Positif
coba dulu ,4,Positif
bus wara wiri mohon kasih gos tracking armada donk biar tau lokasi nya mana biar mudah cek lokasi bus,4,Positif
bintang daftar member bug ngambil foto galeri benah,1,Negatif
aplikasi iso buka yo opo iki min pdhal wes update,2,Negatif
daftar tingal masuk kode otp info masuk gmail log aktif sama kayak mohon bantu terimakasih,3,Negatif
saran bus berangkat bungurasih tugas nya obrol langsung tumpang scan bayar bus jalan a yani tumpang scan turun cito lelet sat set sampah botol bungkus permen kursi kumuh ,1,Negatif
lot ya aplikasi ya,3,Negatif
moga real time baik bug,4,Positif
buka hape samsung galaxy a posisi android ,1,Negatif
aplikasi buka susah uninstal deh,2,Negatif
tambah akses top up uang elektronik kartu member aplikasi ini contoh shope pay g pay bayar laman nya sendiri menu rute bus ketuk ikon bus nya muncul jenis chasis nya contoh sbt mercy ocrf ,5,Positif
pagi aplikasi gob surabaya pakai tulis gagal harap hapus ,1,Negatif
driver bus nya ramah,1,Negatif
rute mer ken park jalan desember ulas tulis management pemkot surabaya selengara transportasi ,1,Negatif
saran ya aplikasi pilih wisata cantum nama halte henti gaperlu bingung cari halte henti terima kasih,5,Positif
oke,5,Positif
mudah jalan saya surabaya jos,5,Positif
mahal ngepul botol poin eh bijak poin expired bulan,1,Negatif
ok,5,Positif
saran ya pakai teman bus gojek grab biar enak pakai gob bus surabaya ribet nya ampun hatle stop bus nya tanda lokasi hatle lokasi stop bus nya meleceng map nya inti nih bus naikin susah ,1,Negatif
bantu,5,Positif
lancong surabaya download aplikasi harap bis aplikasi bantu temu rute bus naik titik tuju tuju tidak aplikasi rute bus mereka dasar koridor saya datang ya tau koridor coba aplikasi nya upgrade lagi info halte dekat saya kali transit ganti bus capai tuju saya ,1,Negatif
rute unesa its posisi update bus lewat buang tungu tau bus dmana tungu brngkat kerja juga moga baca evaluasi masuk ,1,Negatif
sip sangat bantu mantap,5,Positif
kasih pemberitahuan notifikasi hp aplikasi ini notifnya bis suroboyo operasi demo dsb tumpang bis rute purabaya kecewa bis tumpang hari mohon erti kami,2,Negatif
bus surabaya krn buru qr kode jalan diturunin orang bru tolong kryawan bus surabaya sana punya dibantuin ato gimana ngmong mbak sebentar ya telepon suami tf pokok bayar perjlnan jauh rajawali bungurasih tlong ya baik nurunin orang enak nya tangal ,1,Negatif
very god,5,Positif
layan nya masyarakat bagus aplikasi kadang kadang,5,Positif
up date baharu informasi,1,Negatif
aplikasi bantu bulan rute unesa its muncul posisi bus halte hilang peta aplikasi peta update panjang rute sekarang moga baik rute bayar mohon tingkat layan nya harap tambah jam operasional nya jam ,5,Positif
aplikasi bantu jam daerah unesa its,1,Negatif
mohon panjang jalur sb kenjeran gunung anyar kenjeran bandara juanda gera manusia tingal kendara pribadi bantu gera orang bandara juanda asai taxi mahal bis murah panjang rute bantu masyarakat kantung mukim kantung industri pondok chandra wadung asri tambak sawah tropodo pabean ,5,Positif
bus suroboyo bagus jalan arjuno ada moga tumpang bus arah bungurasih fly over pasar kembang,2,Negatif
tolong tambah halte arah terminal joyoboyo osowilangun turun halte margomulyo jalan arah tikung greges tambah halte terang jangan tempel stiker plakat saja mana dana perintah lokasi lampu stiker tumpang susah cari halte untuk lebih bagus nyaman halte rute margomulyo minim halte ,3,Negatif
bus surabaya teman bus satu rata rute surabaya aplikasi nya update akurat tambah beli tiket online aplikasi,1,Negatif
ya daftar member pilih foto awal coba,1,Negatif
tolong rute mer armada nya bus beroprasi kasi berangkat kerja tungu jam an semenjak panjang rute tij yono soewojo,3,Negatif
aplikasi berintregasi ber multifungsi informasi jalur jalur juga terimakasih,5,Positif
ok,5,Positif
aplikasi bantu dishub kota sby informasi cuaca halte bantu guna pergi ,5,Positif
bersih,5,Positif
mud ramah ,5,Positif
rute tolong diupdate unesa its sesuai aplikasi,5,Positif
mantab pol,5,Positif
